writing to logs/AEJ_data/3/trust-constr/Poland/2021_8_10_23_30
| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  |
|-------|-------|-------|-------------|----------|----------|----------|
|   1   |   8   |   0   | +2.5484e+03 | 1.00e+00 | 4.93e+06 | 0.00e+00 |
|   2   |  16   |   1   | -8.6616e+01 | 1.00e+00 | 9.92e+01 | 2.67e-01 |
|   3   |  24   |   8   | -8.6623e+01 | 6.55e+00 | 4.04e+01 | 2.67e-01 |
|   4   |  32   |  15   | -8.1170e+01 | 9.14e+00 | 2.06e+01 | 2.33e-01 |
|   5   |  40   |  22   | -1.2293e+02 | 9.14e+00 | 1.91e+01 | 1.35e-01 |
|   6   |  48   |  28   | -2.1628e+02 | 9.79e+00 | 1.77e+01 | 5.55e-02 |
|   7   |  56   |  34   | -2.9543e+02 | 9.79e+00 | 1.68e+01 | 1.52e-02 |
|   8   |  64   |  39   | -3.3856e+02 | 9.79e+00 | 1.64e+01 | 0.00e+00 |
|   9   |  72   |  43   | -3.3856e+02 | 9.79e+00 | 1.64e+01 | 0.00e+00 |
|  10   |  88   |  48   | -3.3856e+02 | 1.00e+00 | 1.64e+01 | 0.00e+00 |
|  11   |  96   |  54   | -3.3874e+02 | 1.00e+00 | 1.63e+01 | 0.00e+00 |
|  12   |  104  |  59   | -3.4251e+02 | 1.01e+00 | 1.67e+01 | 0.00e+00 |
|  13   |  112  |  64   | -3.6361e+02 | 7.07e+00 | 1.15e+01 | 0.00e+00 |
|  14   |  128  |  69   | -3.6361e+02 | 1.31e+00 | 1.15e+01 | 0.00e+00 |
|  15   |  136  |  76   | -3.6365e+02 | 1.31e+00 | 1.15e+01 | 0.00e+00 |
|  16   |  144  |  83   | -3.6369e+02 | 1.31e+00 | 1.16e+01 | 0.00e+00 |
|  17   |  152  |  90   | -3.6429e+02 | 1.31e+00 | 1.26e+01 | 0.00e+00 |
|  18   |  160  |  95   | -3.6429e+02 | 1.31e+00 | 1.26e+01 | 0.00e+00 |
|  19   |  168  |  102  | -3.6473e+02 | 1.61e+00 | 1.30e+01 | 0.00e+00 |
|  20   |  176  |  109  | -3.6528e+02 | 2.27e+00 | 1.37e+01 | 0.00e+00 |
|  21   |  184  |  116  | -3.6877e+02 | 1.59e+01 | 1.99e+01 | 0.00e+00 |
|  22   |  192  |  123  | -3.7279e+02 | 1.59e+01 | 2.41e+01 | 0.00e+00 |
|  23   |  200  |  128  | -3.7287e+02 | 1.59e+01 | 2.42e+01 | 0.00e+00 |
|  24   |  208  |  133  | -3.7290e+02 | 1.59e+01 | 2.41e+01 | 0.00e+00 |
|  25   |  216  |  136  | -3.7290e+02 | 1.59e+01 | 2.41e+01 | 0.00e+00 |
|  26   |  224  |  143  | -3.7453e+02 | 1.59e+01 | 2.54e+01 | 0.00e+00 |
|  27   |  232  |  150  | -3.7827e+02 | 1.59e+01 | 2.86e+01 | 0.00e+00 |
|  28   |  240  |  157  | -3.8142e+02 | 1.59e+01 | 3.19e+01 | 0.00e+00 |
|  29   |  248  |  164  | -3.8151e+02 | 1.59e+01 | 3.27e+01 | 0.00e+00 |
|  30   |  256  |  168  | -3.8151e+02 | 1.59e+01 | 3.25e+01 | 0.00e+00 |
|  31   |  264  |  172  | -3.8152e+02 | 1.59e+01 | 3.25e+01 | 0.00e+00 |
|  32   |  272  |  174  | -3.8152e+02 | 1.59e+01 | 3.26e+01 | 0.00e+00 |
|  33   |  280  |  176  | -3.8152e+02 | 1.59e+01 | 3.26e+01 | 0.00e+00 |
|  34   |  288  |  178  | -3.8152e+02 | 1.59e+01 | 3.26e+01 | 0.00e+00 |
|  35   |  296  |  180  | -3.8152e+02 | 1.59e+01 | 3.25e+01 | 0.00e+00 |
|  36   |  304  |  182  | -3.8152e+02 | 1.59e+01 | 3.26e+01 | 0.00e+00 |
|  37   |  312  |  184  | -3.8152e+02 | 1.59e+01 | 3.26e+01 | 0.00e+00 |
|  38   |  320  |  188  | -3.8259e+02 | 1.59e+01 | 3.27e+01 | 0.00e+00 |
|  39   |  328  |  193  | -3.8782e+02 | 1.59e+01 | 3.96e+01 | 0.00e+00 |
|  40   |  336  |  195  | -3.9732e+02 | 1.59e+01 | 3.14e+01 | 0.00e+00 |
|  41   |  344  |  202  | -4.8002e+02 | 3.38e+01 | 2.06e+01 | 0.00e+00 |
|  42   |  352  |  209  | -4.8166e+02 | 3.38e+01 | 2.93e+01 | 0.00e+00 |
|  43   |  360  |  213  | -4.8623e+02 | 3.38e+01 | 1.93e+01 | 0.00e+00 |
|  44   |  368  |  215  | -4.8630e+02 | 3.38e+01 | 1.97e+01 | 0.00e+00 |
|  45   |  376  |  219  | -4.8655e+02 | 3.38e+01 | 1.94e+01 | 0.00e+00 |
|  46   |  384  |  221  | -4.8668e+02 | 3.38e+01 | 1.92e+01 | 0.00e+00 |
|  47   |  400  |  223  | -4.8668e+02 | 3.38e+00 | 1.92e+01 | 0.00e+00 |
|  48   |  416  |  229  | -4.8668e+02 | 8.87e-01 | 1.92e+01 | 0.00e+00 |
|  49   |  432  |  232  | -4.8668e+02 | 4.44e-01 | 1.92e+01 | 0.00e+00 |
|  50   |  440  |  235  | -4.9545e+02 | 8.87e-01 | 6.35e+01 | 0.00e+00 |
|  51   |  456  |  238  | -4.9545e+02 | 4.44e-01 | 6.35e+01 | 0.00e+00 |
|  52   |  464  |  243  | -5.1004e+02 | 2.72e+00 | 1.17e+01 | 0.00e+00 |
|  53   |  472  |  248  | -5.2136e+02 | 2.72e+00 | 3.46e+01 | 0.00e+00 |
|  54   |  488  |  253  | -5.2136e+02 | 2.72e-01 | 3.46e+01 | 0.00e+00 |
|  55   |  496  |  257  | -5.2647e+02 | 4.70e-01 | 2.85e+01 | 0.00e+00 |
|  56   |  504  |  261  | -5.2782e+02 | 4.70e-01 | 1.97e+01 | 0.00e+00 |
|  57   |  520  |  266  | -5.2782e+02 | 1.46e-01 | 1.97e+01 | 0.00e+00 |
|  58   |  528  |  270  | -5.2843e+02 | 2.24e-01 | 5.56e+00 | 0.00e+00 |
|  59   |  536  |  274  | -5.2880e+02 | 2.65e-01 | 2.82e+01 | 0.00e+00 |
|  60   |  552  |  278  | -5.2880e+02 | 1.32e-01 | 2.82e+01 | 0.00e+00 |
|  61   |  560  |  280  | -5.2999e+02 | 1.32e-01 | 1.80e+01 | 0.00e+00 |
|  62   |  576  |  284  | -5.2999e+02 | 6.62e-02 | 1.80e+01 | 0.00e+00 |
|  63   |  584  |  286  | -5.3005e+02 | 6.62e-02 | 7.96e+00 | 0.00e+00 |
|  64   |  600  |  290  | -5.3005e+02 | 2.30e-02 | 7.96e+00 | 0.00e+00 |
|  65   |  616  |  292  | -5.3005e+02 | 9.70e-03 | 7.96e+00 | 0.00e+00 |
|  66   |  624  |  294  | -5.3008e+02 | 9.70e-03 | 1.17e+01 | 0.00e+00 |
|  67   |  640  |  296  | -5.3008e+02 | 4.85e-03 | 1.17e+01 | 0.00e+00 |
