writing to logs/AEJ_data/4/trust-constr/Philippines/2021_8_10_23_30
| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  |
|-------|-------|-------|-------------|----------|----------|----------|
|   1   |   8   |   0   | -3.9875e+02 | 1.00e+00 | 3.33e+04 | 0.00e+00 |
|   2   |  16   |   1   | -3.9875e+02 | 5.00e-01 | 3.33e+04 | 0.00e+00 |
|   3   |  24   |   2   | -3.9875e+02 | 2.50e-01 | 3.33e+04 | 0.00e+00 |
|   4   |  32   |   3   | -3.9875e+02 | 1.25e-01 | 3.33e+04 | 0.00e+00 |
|   5   |  40   |   4   | -4.3140e+02 | 1.25e-01 | 1.08e+03 | 0.00e+00 |
|   6   |  48   |   9   | -4.7329e+02 | 7.16e-01 | 7.00e+02 | 0.00e+00 |
|   7   |  56   |  14   | -4.7335e+02 | 1.15e+00 | 6.76e+03 | 0.00e+00 |
|   8   |  64   |  21   | -4.7335e+02 | 1.15e-01 | 6.76e+03 | 0.00e+00 |
|   9   |  72   |  22   | -4.7982e+02 | 6.45e-01 | 5.71e+03 | 0.00e+00 |
|  10   |  80   |  23   | -5.2209e+02 | 3.67e+00 | 6.17e+02 | 0.00e+00 |
|  11   |  88   |  24   | -5.0883e+02 | 7.33e+00 | 2.55e+02 | 0.00e+00 |
|  12   |  96   |  25   | -4.7930e+02 | 7.33e+00 | 5.80e+01 | 0.00e+00 |
|  13   |  104  |  26   | -4.6471e+02 | 7.33e+00 | 3.02e+01 | 0.00e+00 |
|  14   |  112  |  27   | -4.5813e+02 | 7.33e+00 | 2.98e+01 | 0.00e+00 |
|  15   |  120  |  28   | -4.5545e+02 | 7.33e+00 | 2.95e+01 | 0.00e+00 |
|  16   |  128  |  35   | -5.1335e+02 | 7.33e+00 | 2.70e+01 | 0.00e+00 |
|  17   |  136  |  42   | -5.4283e+02 | 7.33e+00 | 3.44e+01 | 0.00e+00 |
|  18   |  144  |  49   | -5.7105e+02 | 7.33e+00 | 5.14e+01 | 0.00e+00 |
|  19   |  152  |  56   | -5.9521e+02 | 7.33e+00 | 6.57e+01 | 0.00e+00 |
|  20   |  160  |  63   | -6.1511e+02 | 7.33e+00 | 7.41e+01 | 0.00e+00 |
|  21   |  168  |  70   | -6.3165e+02 | 7.33e+00 | 7.28e+01 | 0.00e+00 |
|  22   |  176  |  77   | -6.4682e+02 | 7.33e+00 | 6.20e+01 | 0.00e+00 |
|  23   |  184  |  84   | -6.4682e+02 | 7.33e-01 | 6.20e+01 | 0.00e+00 |
|  24   |  192  |  91   | -6.4722e+02 | 7.33e-01 | 5.83e+01 | 0.00e+00 |
|  25   |  200  |  98   | -6.4756e+02 | 7.33e-01 | 5.54e+01 | 0.00e+00 |
|  26   |  208  |  105  | -6.5029e+02 | 7.33e-01 | 5.29e+01 | 0.00e+00 |
|  27   |  216  |  112  | -6.5283e+02 | 7.33e-01 | 5.04e+01 | 0.00e+00 |
|  28   |  224  |  119  | -6.5386e+02 | 7.33e-01 | 2.72e+01 | 0.00e+00 |
|  29   |  232  |  126  | -6.5462e+02 | 7.33e-01 | 4.54e+01 | 0.00e+00 |
|  30   |  240  |  133  | -6.5526e+02 | 7.33e-01 | 2.60e+01 | 0.00e+00 |
|  31   |  248  |  140  | -6.5580e+02 | 7.33e-01 | 4.19e+01 | 0.00e+00 |
|  32   |  256  |  147  | -6.5627e+02 | 7.33e-01 | 2.55e+01 | 0.00e+00 |
|  33   |  264  |  154  | -6.5672e+02 | 7.33e-01 | 4.03e+01 | 0.00e+00 |
|  34   |  272  |  161  | -6.5714e+02 | 7.33e-01 | 2.52e+01 | 0.00e+00 |
|  35   |  280  |  168  | -6.5755e+02 | 7.33e-01 | 3.92e+01 | 0.00e+00 |
|  36   |  288  |  175  | -6.5794e+02 | 7.33e-01 | 2.52e+01 | 0.00e+00 |
|  37   |  296  |  182  | -6.5833e+02 | 7.33e-01 | 3.87e+01 | 0.00e+00 |
|  38   |  304  |  189  | -6.5870e+02 | 7.33e-01 | 2.49e+01 | 0.00e+00 |
|  39   |  312  |  196  | -6.5906e+02 | 7.33e-01 | 3.87e+01 | 0.00e+00 |
|  40   |  320  |  203  | -6.5941e+02 | 7.33e-01 | 2.47e+01 | 0.00e+00 |
|  41   |  328  |  210  | -6.5975e+02 | 7.33e-01 | 3.73e+01 | 0.00e+00 |
|  42   |  336  |  217  | -6.6009e+02 | 7.33e-01 | 2.44e+01 | 0.00e+00 |
|  43   |  344  |  224  | -6.6042e+02 | 7.33e-01 | 3.61e+01 | 0.00e+00 |
|  44   |  352  |  231  | -6.6076e+02 | 7.33e-01 | 2.40e+01 | 0.00e+00 |
|  45   |  360  |  238  | -6.6109e+02 | 7.33e-01 | 3.59e+01 | 0.00e+00 |
|  46   |  368  |  245  | -6.6142e+02 | 7.33e-01 | 2.35e+01 | 0.00e+00 |
|  47   |  376  |  252  | -6.6175e+02 | 7.33e-01 | 3.71e+01 | 0.00e+00 |
|  48   |  384  |  259  | -6.6205e+02 | 7.33e-01 | 2.31e+01 | 0.00e+00 |
|  49   |  392  |  266  | -6.6238e+02 | 7.33e-01 | 3.76e+01 | 0.00e+00 |
|  50   |  400  |  273  | -6.6268e+02 | 7.33e-01 | 2.28e+01 | 0.00e+00 |
|  51   |  408  |  280  | -6.6300e+02 | 7.33e-01 | 3.77e+01 | 0.00e+00 |
|  52   |  416  |  287  | -6.6329e+02 | 7.33e-01 | 2.25e+01 | 0.00e+00 |
|  53   |  424  |  294  | -6.6361e+02 | 7.33e-01 | 3.82e+01 | 0.00e+00 |
|  54   |  432  |  301  | -6.6390e+02 | 7.33e-01 | 2.22e+01 | 0.00e+00 |
|  55   |  440  |  308  | -6.6422e+02 | 7.33e-01 | 3.79e+01 | 0.00e+00 |
|  56   |  448  |  315  | -6.6450e+02 | 7.33e-01 | 2.17e+01 | 0.00e+00 |
|  57   |  456  |  322  | -6.6484e+02 | 7.33e-01 | 3.92e+01 | 0.00e+00 |
|  58   |  464  |  329  | -6.6515e+02 | 7.33e-01 | 2.12e+01 | 0.00e+00 |
|  59   |  472  |  336  | -6.6555e+02 | 7.33e-01 | 4.24e+01 | 0.00e+00 |
|  60   |  480  |  343  | -6.6592e+02 | 7.33e-01 | 2.05e+01 | 0.00e+00 |
|  61   |  488  |  350  | -6.6649e+02 | 9.13e-01 | 5.08e+01 | 0.00e+00 |
|  62   |  496  |  357  | -6.6699e+02 | 9.13e-01 | 1.95e+01 | 0.00e+00 |
|  63   |  504  |  364  | -6.6877e+02 | 3.17e+00 | 7.27e+01 | 0.00e+00 |
|  64   |  512  |  371  | -6.6988e+02 | 3.17e+00 | 1.67e+01 | 0.00e+00 |
|  65   |  520  |  378  | -6.7186e+02 | 3.17e+00 | 5.60e+01 | 0.00e+00 |
|  66   |  528  |  385  | -6.7253e+02 | 3.17e+00 | 1.16e+01 | 0.00e+00 |
|  67   |  536  |  392  | -6.7257e+02 | 3.17e+00 | 1.76e+01 | 0.00e+00 |
|  68   |  544  |  399  | -6.7259e+02 | 3.17e+00 | 1.13e+01 | 0.00e+00 |
|  69   |  552  |  406  | -6.7261e+02 | 3.17e+00 | 1.22e+01 | 0.00e+00 |
|  70   |  560  |  413  | -6.7261e+02 | 3.17e+00 | 1.45e+01 | 0.00e+00 |
|  71   |  568  |  420  | -6.7262e+02 | 3.17e+00 | 1.32e+01 | 0.00e+00 |
|  72   |  576  |  427  | -6.7265e+02 | 3.17e+00 | 1.17e+01 | 0.00e+00 |
|  73   |  584  |  434  | -6.7272e+02 | 3.17e+00 | 1.09e+01 | 0.00e+00 |
|  74   |  592  |  441  | -6.7289e+02 | 3.17e+00 | 1.87e+01 | 0.00e+00 |
|  75   |  600  |  448  | -6.7314e+02 | 3.17e+00 | 3.25e+01 | 0.00e+00 |
|  76   |  608  |  455  | -6.7399e+02 | 3.17e+00 | 4.55e+01 | 0.00e+00 |
|  77   |  616  |  462  | -6.7452e+02 | 3.17e+00 | 2.55e+01 | 0.00e+00 |
|  78   |  624  |  469  | -6.7457e+02 | 3.17e+00 | 1.67e+01 | 0.00e+00 |
|  79   |  632  |  476  | -6.7458e+02 | 3.17e+00 | 1.42e+01 | 0.00e+00 |
|  80   |  640  |  479  | -6.7458e+02 | 3.17e+00 | 1.40e+01 | 0.00e+00 |
|  81   |  648  |  484  | -6.7462e+02 | 3.17e+00 | 1.03e+01 | 0.00e+00 |
|  82   |  656  |  489  | -6.7468e+02 | 3.17e+00 | 1.55e+01 | 0.00e+00 |
|  83   |  664  |  494  | -6.7484e+02 | 3.17e+00 | 2.25e+01 | 0.00e+00 |
|  84   |  672  |  499  | -6.7502e+02 | 3.17e+00 | 2.38e+01 | 0.00e+00 |
|  85   |  680  |  506  | -6.7513e+02 | 3.17e+00 | 1.70e+01 | 0.00e+00 |
|  86   |  688  |  509  | -6.7516e+02 | 3.17e+00 | 9.88e+00 | 0.00e+00 |
|  87   |  696  |  512  | -6.7516e+02 | 3.17e+00 | 7.43e+00 | 0.00e+00 |
|  88   |  704  |  516  | -6.7516e+02 | 3.17e+00 | 7.25e+00 | 0.00e+00 |
|  89   |  712  |  518  | -6.7516e+02 | 3.17e+00 | 7.25e+00 | 0.00e+00 |
|  90   |  728  |  525  | -6.7516e+02 | 3.17e-01 | 7.25e+00 | 0.00e+00 |
|  91   |  736  |  532  | -6.7531e+02 | 3.17e-01 | 1.76e+01 | 0.00e+00 |
|  92   |  744  |  537  | -6.7539e+02 | 3.17e-01 | 1.97e+01 | 0.00e+00 |
|  93   |  752  |  544  | -6.7774e+02 | 8.32e-01 | 6.35e+01 | 0.00e+00 |
|  94   |  760  |  551  | -6.8078e+02 | 9.12e-01 | 9.67e+01 | 0.00e+00 |
|  95   |  768  |  558  | -6.8519e+02 | 1.81e+00 | 1.11e+02 | 0.00e+00 |
|  96   |  776  |  565  | -6.8720e+02 | 1.81e+00 | 8.27e+00 | 0.00e+00 |
|  97   |  784  |  572  | -6.8759e+02 | 1.81e+00 | 1.40e+01 | 0.00e+00 |
|  98   |  792  |  579  | -6.8765e+02 | 1.81e+00 | 5.42e+00 | 0.00e+00 |
|  99   |  800  |  586  | -6.8771e+02 | 1.81e+00 | 8.90e+00 | 0.00e+00 |
|  100  |  808  |  593  | -6.8778e+02 | 1.81e+00 | 9.26e+00 | 0.00e+00 |
|  101  |  816  |  599  | -6.8780e+02 | 1.81e+00 | 4.99e+00 | 0.00e+00 |
|  102  |  824  |  603  | -6.8780e+02 | 1.81e+00 | 3.52e+00 | 0.00e+00 |
|  103  |  832  |  605  | -6.8780e+02 | 1.81e+00 | 3.19e+00 | 0.00e+00 |
|  104  |  840  |  606  | -6.8780e+02 | 1.81e+00 | 3.19e+00 | 0.00e+00 |
|  105  |  856  |  612  | -6.8780e+02 | 1.81e-01 | 3.19e+00 | 0.00e+00 |
|  106  |  864  |  618  | -6.8781e+02 | 1.81e-01 | 7.47e+00 | 0.00e+00 |
|  107  |  872  |  621  | -6.8781e+02 | 1.81e-01 | 6.64e+00 | 0.00e+00 |
|  108  |  880  |  627  | -6.8782e+02 | 1.81e-01 | 6.04e+00 | 0.00e+00 |
|  109  |  888  |  630  | -6.8782e+02 | 1.81e-01 | 5.63e+00 | 0.00e+00 |
|  110  |  896  |  633  | -6.8782e+02 | 1.81e-01 | 5.75e+00 | 0.00e+00 |
|  111  |  904  |  634  | -6.8782e+02 | 1.81e-01 | 5.75e+00 | 0.00e+00 |
|  112  |  912  |  639  | -6.8782e+02 | 1.89e-02 | 5.75e+00 | 0.00e+00 |
|  113  |  920  |  644  | -6.8788e+02 | 1.32e-01 | 1.05e+01 | 0.00e+00 |
|  114  |  928  |  646  | -6.8792e+02 | 1.32e-01 | 7.08e+00 | 0.00e+00 |
|  115  |  936  |  651  | -6.8819e+02 | 5.11e-01 | 1.25e+01 | 0.00e+00 |
|  116  |  944  |  656  | -6.8834e+02 | 6.51e-01 | 1.16e+01 | 0.00e+00 |
|  117  |  952  |  661  | -6.8838e+02 | 6.51e-01 | 2.86e+00 | 0.00e+00 |
|  118  |  960  |  663  | -6.8839e+02 | 6.51e-01 | 7.35e-01 | 0.00e+00 |
|  119  |  968  |  670  | -6.8838e+02 | 8.17e-01 | 4.19e+00 | 0.00e+00 |
|  120  |  976  |  673  | -6.8839e+02 | 8.17e-01 | 2.93e+00 | 0.00e+00 |
|  121  |  984  |  675  | -6.8839e+02 | 8.17e-01 | 2.56e+00 | 0.00e+00 |
|  122  |  992  |  677  | -6.8839e+02 | 8.17e-01 | 4.54e-01 | 0.00e+00 |
|  123  | 1000  |  683  | -6.8839e+02 | 5.72e+00 | 1.83e-01 | 0.00e+00 |
|  124  | 1008  |  690  | -6.8832e+02 | 5.72e+00 | 6.27e+00 | 0.00e+00 |
|  125  | 1016  |  695  | -6.8839e+02 | 5.72e+00 | 5.22e-01 | 0.00e+00 |
|  126  | 1024  |  700  | -6.8840e+02 | 5.72e+00 | 1.19e+00 | 0.00e+00 |
|  127  | 1032  |  707  | -6.8839e+02 | 5.72e+00 | 6.87e+00 | 0.00e+00 |
|  128  | 1040  |  710  | -6.8840e+02 | 5.72e+00 | 1.23e+00 | 0.00e+00 |
|  129  | 1048  |  717  | -6.8840e+02 | 5.72e+00 | 7.38e+00 | 0.00e+00 |
|  130  | 1056  |  718  | -6.8841e+02 | 5.72e+00 | 1.87e+00 | 0.00e+00 |
|  131  | 1064  |  721  | -6.8841e+02 | 5.72e+00 | 1.10e-01 | 0.00e+00 |
|  132  | 1072  |  728  | -6.8842e+02 | 6.09e+00 | 2.07e+00 | 0.00e+00 |
|  133  | 1080  |  735  | -6.8846e+02 | 8.11e+00 | 8.14e-01 | 0.00e+00 |
|  134  | 1088  |  742  | -6.8859e+02 | 1.12e+01 | 4.16e+00 | 0.00e+00 |
|  135  | 1096  |  749  | -6.8876e+02 | 1.12e+01 | 3.30e+01 | 0.00e+00 |
|  136  | 1104  |  750  | -6.8886e+02 | 1.12e+01 | 6.68e+00 | 0.00e+00 |
|  137  | 1112  |  757  | -6.8937e+02 | 1.45e+01 | 3.41e+01 | 0.00e+00 |
|  138  | 1120  |  760  | -6.8953e+02 | 1.45e+01 | 3.51e+00 | 0.00e+00 |
|  139  | 1128  |  767  | -6.9004e+02 | 1.45e+01 | 9.90e-01 | 0.00e+00 |
|  140  | 1136  |  774  | -6.9037e+02 | 1.45e+01 | 1.72e+00 | 0.00e+00 |
|  141  | 1144  |  781  | -6.9044e+02 | 1.45e+01 | 1.66e+00 | 0.00e+00 |
|  142  | 1152  |  783  | -6.9044e+02 | 1.45e+01 | 8.14e-02 | 0.00e+00 |
|  143  | 1160  |  786  | -6.9044e+02 | 1.45e+01 | 3.84e-02 | 0.00e+00 |
|  144  | 1160  |  786  | -6.9044e+02 | 7.26e+01 | 4.11e-02 | 0.00e+00 |
|  145  | 1168  |  793  | -6.9044e+02 | 7.26e+01 | 3.60e-01 | 0.00e+00 |
|  146  | 1176  |  794  | -6.9044e+02 | 7.26e+01 | 4.20e-02 | 0.00e+00 |
|  147  | 1184  |  796  | -6.9044e+02 | 7.26e+01 | 1.28e-02 | 0.00e+00 |
|  148  | 1184  |  796  | -6.9044e+02 | 3.63e+02 | 1.80e-02 | 0.00e+00 |
|  149  | 1192  |  800  | -6.9044e+02 | 3.63e+02 | 1.66e-02 | 0.00e+00 |
|  150  | 1200  |  802  | -6.9044e+02 | 3.63e+02 | 1.65e-02 | 0.00e+00 |
|  151  | 1208  |  803  | -6.9044e+02 | 3.63e+02 | 1.81e-02 | 0.00e+00 |
